zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
5,1764351769.5230777,PALM,PALM,2,1323,567
5,1764351770.0403423,PALM,PALM,2,1331,553
5,1764351770.5559628,PALM,PALM,2,1309,532
5,1764351771.0620973,PALM,PALM,2,1318,524
5,1764351771.566208,PALM,PALM,2,1314,500
5,1764351772.0677595,PALM,PALM,2,1355,491
5,1764351772.5900943,PALM,PALM,2,1333,491
5,1764351773.1092072,PALM,PALM,2,1342,495
5,1764351773.6213622,PALM,PALM,2,1349,474
5,1764351774.1328354,PALM,PALM,2,1360,438
5,1764351774.6555886,PALM,PALM,2,1355,407
5,1764351775.1652308,PALM,PALM,2,1406,464
5,1764351775.6716876,PALM,PALM,2,1464,449
5,1764351776.1837249,PALM,PALM,2,1357,454
5,1764351776.689537,PALM,PALM,2,1288,437
5,1764351777.1985404,,PALM,5,,
5,1764351777.7037067,,PALM,5,,
5,1764351778.231151,,PALM,5,,
5,1764351778.75198,,PALM,5,,
5,1764351779.252866,,PALM,5,,
5,1764351779.7837415,,PALM,5,,
5,1764351780.29047,,PALM,5,,
5,1764351780.8071818,PALM,PALM,2,1305,617
5,1764351781.3266282,,PALM,5,,
5,1764351781.8397791,,PALM,5,,
5,1764351782.3579493,PALM,PALM,2,1338,652
5,1764351782.8637547,PALM,PALM,2,1344,647
5,1764351783.3687143,PALM,PALM,2,1341,641
5,1764351783.8806605,PALM,PALM,2,1333,620
5,1764351784.3809133,PALM,PALM,2,1337,625
5,1764351784.8967223,PALM,PALM,2,1373,626
5,1764351787.0836658,FIST,FIST,3,1350,597
5,1764351787.5857072,FIST,FIST,3,1353,593
5,1764351788.0861702,FIST,FIST,3,1365,566
5,1764351788.5900857,FIST,FIST,3,1370,518
5,1764351789.1058445,FIST,FIST,3,1364,492
5,1764351789.624148,FIST,FIST,3,1361,485
5,1764351790.1378803,FIST,FIST,3,1277,479
5,1764351790.646953,FIST,FIST,3,1237,483
5,1764351791.1502726,FIST,FIST,3,1196,457
5,1764351791.6524668,FIST,FIST,3,1190,415
5,1764351792.1678076,FIST,FIST,3,1330,443
5,1764351792.6830297,FIST,FIST,3,1363,456
5,1764351793.1885824,FIST,FIST,3,1418,462
5,1764351793.7032156,FIST,FIST,3,1428,457
5,1764351794.215994,FIST,FIST,3,1429,457
5,1764351794.7273,FIST,FIST,3,1476,445
